the	на
four	four
four	четри
four	четири
four	четворица
even	дури
class	клас
class	класа
government	влада
how	како
called	повика
did	дали
each	секоја
found	нашол
found	пронајдени
found	најдено
found	пронајдено
found	пронајдена
found	најден
center	средина
center	центар
per	пер
per	per
style	стил
com	com
com	ком
long	лонг
long	долги
long	долго
long	долга
country	земја
country	држава
country	кантри
back	грб
back	назад
way	начин
does	дали
www	www
modify	измени
end	крај
make	make
make	направи
public	јавно
public	јавни
public	јавен
public	јавна
public	јавност
public	public
played	играше
played	одиграно
played	одигран
played	свирел
won	добиена
won	победи
won	освои
won	победија
won	освоено
another	друг
another	друга
released	пуштен
released	пуштени
released	ослободен
added	додадена
added	додаде
added	додадени
added	додадено
added	додаден
support	подршка
support	поддршка
support	support
games	игри
former	поранешно
former	поранешни
former	поранешен
former	поранешна
former	бивши
those	тие
those	оние
films	филмови
church	црква
east	исток
line	линија
major	мајорот
major	мајор
members	членки
members	членовите
members	членови
good	добра
good	добро
good	добар
much	многу
image	слика
show	покажи
show	прикажи
still	сеуште
still	уште
still	сепак
think	мисли
think	помисли
think	размислувај
below	подолу
town	град
town	градче
last	последно
last	последни
last	последен
last	последна
last	последниот
system	систем
right	десно
right	надесно
right	право
song	песна
non	non
notable	забележително
section	рез
section	оддел
section	отсек
section	секција
single	единствена
single	сингл
single	самец
included	вклучени
included	вклучено
align	порамни
home	дом
home	дома
home	домот
home	home
women	жени
women	женски
women	жените
television	телевизија
seed	семе
member	членка
member	член
goals	голови
goals	цели
sources	извори
book	книга
station	станица
order	ред
order	наредба
order	нарачка
order	редослед
old	старо
old	стари
old	стар
old	стара
information	информација
information	информации
set	сет
set	комплет
set	сетот
set	постави
own	сопствени
own	сопствено
own	сопствена
own	сопствен
text	текст
band	бенд
point	точка
local	локален
local	локално
local	локални
local	локална
around	околу
around	наоколу
river	река
river	ривер
river	реката
top	top
top	топ
top	врвот
main	главни
main	главен
main	главна
main	главното
language	јазик
french	французи
french	француски
https	https
named	именуван
named	именувана
named	именувани
off	исклучен
off	исклучена
off	off
off	исклучено
note	белешка
note	забелешка
note	нота
career	кариера
original	оригинал
age	возраст
age	старост
service	услуги
service	служба
service	сервис
service	услуга
established	воспоставен
established	утврден
established	формирана
established	воспоставено
established	формиран
established	воспоставена
located	лоциран
located	лоцирана
located	лоцирано
located	сместена
said	рече
said	рекол
population	популација
population	население
air	воздух
air	ер
air	air
german	германски
german	герман
german	германска
law	закон
military	воена
military	војска
great	одлична
great	одлично
great	супер
clubs	клубови
published	објавена
published	објавени
published	објавено
published	објавен
president	претседател
park	парк
park	park
official	официјално
official	службен
official	службено
official	официјална
case	случај
case	кејс
london	london
london	лондон
london	лондонски
times	пати
although	иако
small	малечко
small	мала
small	мал
small	мали
small	мало
third	трета
third	трет
third	трето
third	трети
third	третиот
different	различен
different	различно
different	поинакво
different	различна
different	поинаку
different	поинаков
village	село
village	селски
closed	затвори
closed	затворен
closed	затворена
closed	затворени
closed	затворено
art	уметност
art	арт
art	уметничко
art	уметноста
player	играчот
player	играч
final	final
final	финална
final	конечен
final	конечна
community	заедница
held	одржана
held	одржан
held	одржа
held	задржан
again	повторно
again	одново
again	пак
army	армија
army	војска
award	награда
without	без
death	смрт
death	смртта
built	изграден
built	изградена
built	изградени
built	изградено
men	мажи
men	мажите
men	луѓе
men	машки
large	голем
large	голема
large	големи
site	site
site	сајт
using	користење
using	користејќи
white	бело
white	бели
white	бел
white	бела
white	вајт
along	долж
five	пет
five	петмина
five	five
central	централно
central	централен
central	централа
central	централна
road	road
road	пат
children	деца
free	слободни
free	бесплатно
free	слободно
free	слободна
free	слободен
took	зема
took	земаа
took	зеде
england	англија
include	вклучи
association	здружение
association	асоцијација
down	надолу
down	доле
down	долу
down	подоле
down	надоле
given	дадена
given	дадени
given	дадено
given	даден
source	извор
california	калифорнија
man	маж
man	чоек
man	човек
man	мен
man	човекот
version	верзија
written	напишано
written	напишани
written	пишано
written	пишан
created	создадено
created	создадени
created	креирано
created	создадена
created	создаден
media	мултимедија
media	медиуми
black	црн
black	црна
black	црно
black	црни
black	црнец
though	иако
php	php
report	пријави
report	извештај
building	градба
building	зграда
building	градење
take	земи
take	земете
division	дивизија
division	поделба
comment	коментар
comment	коментирање
king	крал
king	кинг
king	кралот
edit	измени
edit	уредување
edit	уреди
stadium	стадион
died	почина
died	умре
died	умрел
died	починал
died	умрела
ship	брод
research	истражување
research	истражувања
record	рекорд
record	запис
archive	архив
archive	архива
archive	архивата
places	места
undo	врати
cup	чашка
cup	куп
cup	шолја
cup	пехар
records	рекорди
records	евиденција
records	записи
often	често
often	честопати
few	малкумина
few	неколку
few	неколкумина
received	примен
received	добиени
received	доби
received	примена
received	примиле
side	страната
side	страна
power	моќ
power	власт
power	моќност
education	образование
education	едукација
category	категорија
water	вода
water	воден
political	политички
political	политичко
political	политичка
species	врсти
species	видови
field	поле
near	близу
near	блиску
australia	австралија
video	video
video	видео
need	треба
need	потреба
island	островот
island	остров
form	форма
find	најдете
find	пронајди
find	најди
find	пронајдет�
